,node,betweenness,closeness,eigenvector,degree,weighted_degree,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,centroid_row,centroid_col,bbox,mean_intensity_gray,mean_color,community_id
0,0,0.0,0.38351730791770067,0.1332815237046151,1,1.9291002872762435,4538.0,378.6812408671319,0.9442115366191285,0.7146456692913385,0.5166211293260473,145.60427665123223,47.953254669883016,18.9614367562803,54.6198765976201,"(0, 0, 61, 144)",0.9422062995705114,[246.40061701 238.18025562 242.83384751],4
1,1,0.15333333333333335,0.58953488869776,0.42208137520015804,2,3.8537717974245838,9845.0,954.0559159102154,0.9575895753013656,0.4972724517628043,0.3630831643002028,257.2320135730485,74.1177368543135,27.62894870492636,204.6006094464195,"(0, 2, 85, 321)",0.9075582487776217,[243.70929406 227.16018283 237.56912138],4
2,2,0.7133333333333334,0.9868870017125534,0.46774557459617727,5,14.437953903953813,12719.0,1824.76973209045,0.9547755698433588,0.2127349969893624,0.11898480766352343,456.0541259811688,135.59740934816568,49.7268653196006,482.97507665696986,"(0, 240, 204, 764)",0.8174449422432704,[237.61050397 198.36803208 222.52063841],1
3,4,0.0,0.8098671188194847,0.08436668930910128,2,5.788607893258002,12967.0,1070.7188668141177,0.8981224234810334,0.4660030187594336,0.2785606874328679,239.80357598936246,105.45254551662923,34.47435798565589,829.0120305390607,"(0, 687, 133, 1037)",0.9190793029364133,[245.81992751 230.37464333 240.20066322],0
4,5,0.29000000000000004,0.7325736884663331,0.026736959566569365,3,9.285821583369176,11775.0,1367.9625535217635,0.9813337140492241,0.3622742516075439,0.2118567830154732,430.7957636327198,82.84745959120485,37.684246284501064,1090.9737579617833,"(0, 924, 140, 1321)",0.8570935509429249,[239.65715499 211.18828025 229.50921444],0
5,8,0.08,0.4484052164148397,0.013265678301485862,2,3.993387217608208,7611.0,714.9249275747777,0.9252567209727033,0.5974566292487636,0.37941176470588234,179.01931403730595,67.90946140956363,27.03652608067271,1450.184732623834,"(0, 1300, 85, 1536)",0.8884350683865716,[240.77979241 221.51359874 234.59650506],5
6,9,0.08,0.47397791380727156,0.2622281564844053,2,4.057014501565496,17720.0,1538.9696961967002,0.7803411439429813,0.6308070200420063,0.42232708899375565,228.81200045723375,143.0885132268861,114.22325056433408,64.09102708803611,"(27, 0, 286, 162)",0.5787320457442571,[199.24147856 128.31156885 186.45993228],4
7,10,0.0,0.7503362904449873,0.1526111966412591,1,3.005178980451345,4732.0,1013.6488450227787,0.7209371731400662,0.2162804515745692,0.11508341845420497,203.48187303254159,141.01302498091172,99.43068469991547,413.90912933220625,"(27, 307, 205, 538)",0.5857533373941293,[214.45857988 126.5762891  183.6612426 ],1
8,11,0.41000000000000003,0.8112176534723049,0.5302607047929236,4,13.449352641046644,36626.0,2767.9566363361027,0.8908812819431767,0.5394824056207744,0.3460996928892039,371.32372175125477,168.6686829158418,205.04057227106426,161.9657347239666,"(29, 57, 444, 312)",0.5062608302256085,[174.92019331 110.50786327 178.48329056],2
9,13,0.15333333333333335,0.5682917943757642,0.01989268619235786,2,3.8978077639716107,45010.0,2148.067242667258,0.9493810202188648,0.7479974739920896,0.4881355196946035,455.63907774369335,143.12846863268607,224.05472117307266,1292.4363919129082,"(31, 1176, 439, 1402)",0.5179229112571934,[175.14725617 114.24814486 181.94767829],5
