node,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,centroid_row,centroid_col,bbox,mean_intensity_gray,mean_color
0,4538.0,378.6812408671319,0.9442115366191285,0.7146456692913385,0.5166211293260473,145.60427665123223,47.953254669883016,18.9614367562803,54.6198765976201,"(0, 0, 61, 144)",0.9422062995705114,[246.40061701 238.18025562 242.83384751]
1,9845.0,954.0559159102154,0.9575895753013656,0.4972724517628043,0.3630831643002028,257.2320135730485,74.1177368543135,27.62894870492636,204.6006094464195,"(0, 2, 85, 321)",0.9075582487776217,[243.70929406 227.16018283 237.56912138]
2,12719.0,1824.76973209045,0.9547755698433588,0.2127349969893624,0.11898480766352343,456.0541259811688,135.59740934816568,49.7268653196006,482.97507665696986,"(0, 240, 204, 764)",0.8174449422432704,[237.61050397 198.36803208 222.52063841]
3,12272.0,679.6406563273158,0.8748222944727527,0.7515463286177966,0.48148148148148145,202.97996985882713,98.33242096744746,33.50635593220339,610.6767438070405,"(0, 505, 118, 721)",0.938190058797965,[247.61082138 236.33303455 243.39129726]
4,12967.0,1070.7188668141177,0.8981224234810334,0.4660030187594336,0.2785606874328679,239.80357598936246,105.45254551662923,34.47435798565589,829.0120305390607,"(0, 687, 133, 1037)",0.9190793029364133,[245.81992751 230.37464333 240.20066322]
5,11775.0,1367.9625535217635,0.9813337140492241,0.3622742516075439,0.2118567830154732,430.7957636327198,82.84745959120485,37.684246284501064,1090.9737579617833,"(0, 924, 140, 1321)",0.8570935509429249,[239.65715499 211.18828025 229.50921444]
6,6495.0,504.1431816442575,0.9022957230628953,0.5845558455584556,0.3690340909090909,170.79629846052202,73.6332988211741,28.77167051578137,1196.31701308699,"(0, 1112, 110, 1272)",0.9458023945418045,[247.54703618 238.97397998 244.29792148]
7,4905.0,371.6396103067893,0.9682903751886351,0.8873010130246021,0.7124183006535948,167.70603445663443,41.897569106489755,16.686442405708462,1313.397349643221,"(0, 1241, 45, 1394)",0.9465639732166058,[246.84913354 239.45973496 244.2285423 ]
8,7611.0,714.9249275747777,0.9252567209727033,0.5974566292487636,0.37941176470588234,179.01931403730595,67.90946140956363,27.03652608067271,1450.184732623834,"(0, 1300, 85, 1536)",0.8884350683865716,[240.77979241 221.51359874 234.59650506]
9,17720.0,1538.9696961967002,0.7803411439429813,0.6308070200420063,0.42232708899375565,228.81200045723375,143.0885132268861,114.22325056433408,64.09102708803611,"(27, 0, 286, 162)",0.5787320457442571,[199.24147856 128.31156885 186.45993228]
10,4732.0,1013.6488450227787,0.7209371731400662,0.2162804515745692,0.11508341845420497,203.48187303254159,141.01302498091172,99.43068469991547,413.90912933220625,"(27, 307, 205, 538)",0.5857533373941293,[214.45857988 126.5762891  183.6612426 ]
11,36626.0,2767.9566363361027,0.8908812819431767,0.5394824056207744,0.3460996928892039,371.32372175125477,168.6686829158418,205.04057227106426,161.9657347239666,"(29, 57, 444, 312)",0.5062608302256085,[174.92019331 110.50786327 178.48329056]
12,26305.0,1455.390006413483,0.3510734745877733,0.732362603708447,0.6252079669154347,211.67779081590072,198.20405780150136,128.78182854970538,320.0877019578027,"(31, 225, 249, 418)",0.5915065284688291,[192.70651967 134.37715263 190.71587151]
